frame,time_sec,raw_person_count,eval_person_count,global_alert,zone_alert,num_zones_alerting,inference_ms
157,5.239,7,7,1,0,0,23.181
158,5.272,7,7,1,0,0,22.949
159,5.305,7,7,1,0,0,22.83
160,5.339,7,7,1,1,1,22.52
161,5.372,6,6,1,0,0,23.027
162,5.405,8,8,1,1,1,22.859
163,5.439,8,8,1,1,1,22.746
164,5.472,8,8,1,1,1,23.09
165,5.506,7,7,1,1,1,22.802
166,5.539,6,6,1,0,0,22.162
167,5.572,5,5,0,1,1,22.714
168,5.606,7,7,1,0,0,22.675
169,5.639,5,5,0,0,0,23.031
170,5.672,6,6,1,0,0,22.703
171,5.706,7,7,1,0,0,22.3
172,5.739,8,8,1,0,0,22.573
173,5.772,9,9,1,1,1,23.069
174,5.806,8,8,1,1,1,22.689
175,5.839,10,10,1,1,2,22.753
176,5.873,8,8,1,0,0,22.358
177,5.906,8,8,1,1,1,23.948
178,5.939,8,8,1,1,1,23.656
179,5.973,7,7,1,0,0,23.018
180,6.006,7,7,1,0,0,23.05
181,6.039,6,6,1,0,0,22.935
182,6.073,7,7,1,0,0,22.472
183,6.106,7,7,1,0,0,22.346
184,6.139,7,7,1,0,0,22.812
185,6.173,8,8,1,0,0,22.979
186,6.206,7,7,1,0,0,22.799
187,6.24,10,10,1,1,1,22.858
188,6.273,10,10,1,1,1,22.412
189,6.306,8,8,1,1,1,23.121
190,6.34,9,9,1,1,1,22.449
191,6.373,9,9,1,1,1,22.907
192,6.406,8,8,1,1,1,22.696
193,6.44,8,8,1,1,1,23.042
194,6.473,6,6,1,0,0,22.27
195,6.506,6,6,1,0,0,22.369
196,6.54,7,7,1,0,0,22.891
197,6.573,7,7,1,0,0,22.755
198,6.607,9,9,1,1,1,22.16
199,6.64,7,7,1,0,0,22.188
200,6.673,8,8,1,0,0,22.393
201,6.707,8,8,1,1,1,22.702
202,6.74,6,6,1,0,0,22.334
203,6.773,10,10,1,1,2,22.524
204,6.807,9,9,1,1,2,22.554
205,6.84,8,8,1,1,1,22.996
206,6.874,9,9,1,1,1,22.537
207,6.907,10,10,1,1,1,22.424
208,6.94,10,10,1,1,1,22.161
209,6.974,10,10,1,1,2,22.612
210,7.007,10,10,1,1,1,22.759
211,7.04,13,13,1,1,2,22.6
212,7.074,11,11,1,1,2,22.187
213,7.107,8,8,1,0,0,22.477
214,7.14,7,7,1,0,0,22.474
215,7.174,6,6,1,0,0,22.555
216,7.207,6,6,1,0,0,22.492
217,7.241,8,8,1,1,1,22.692
218,7.274,9,9,1,1,2,22.183
219,7.307,9,9,1,1,2,22.4
220,7.341,9,9,1,1,1,22.291
221,7.374,8,8,1,0,0,22.58
222,7.407,8,8,1,0,0,22.126
223,7.441,9,9,1,1,1,22.464
224,7.474,10,10,1,1,2,22.128
225,7.508,9,9,1,1,1,22.476
226,7.541,9,9,1,1,1,22.03
227,7.574,8,8,1,1,1,22.329
228,7.608,10,10,1,1,2,22.401
229,7.641,11,11,1,1,2,22.714
230,7.674,10,10,1,1,2,22.359
231,7.708,9,9,1,1,2,22.255
232,7.741,9,9,1,1,2,22.991
233,7.774,9,9,1,1,2,22.927
234,7.808,9,9,1,1,2,22.499
235,7.841,10,10,1,1,2,22.284
236,7.875,9,9,1,1,2,22.354
237,7.908,9,9,1,1,2,23.056
238,7.941,9,9,1,1,2,22.756
239,7.975,8,8,1,1,1,22.889
240,8.008,8,8,1,1,1,22.448
241,8.041,8,8,1,1,1,22.786
242,8.075,8,8,1,1,1,22.839
243,8.108,8,8,1,1,1,22.592
244,8.141,8,8,1,1,1,22.551
245,8.175,9,9,1,1,2,22.85
246,8.208,9,9,1,1,2,22.551
247,8.242,9,9,1,1,2,22.653
248,8.275,10,10,1,1,2,22.436
249,8.308,10,10,1,1,2,22.984
250,8.342,10,10,1,1,2,22.328
251,8.375,10,10,1,1,2,22.5
252,8.408,10,10,1,1,2,23.131
253,8.442,9,9,1,1,2,23.262
254,8.475,9,9,1,1,2,22.766
255,8.508,9,9,1,1,2,22.521
256,8.542,9,9,1,1,2,22.353
257,8.575,9,9,1,1,2,22.804
258,8.609,10,10,1,1,2,22.446
259,8.642,10,10,1,1,2,22.877
260,8.675,10,10,1,1,2,22.27
261,8.709,10,10,1,1,2,22.682
262,8.742,10,10,1,1,2,22.592
263,8.775,11,11,1,1,3,22.643
264,8.809,12,12,1,1,3,22.731
265,8.842,11,11,1,1,3,22.831
266,8.876,12,12,1,1,3,22.256
267,8.909,12,12,1,1,3,22.656
268,8.942,12,12,1,1,3,22.677
269,8.976,12,12,1,1,3,22.834
270,9.009,12,12,1,1,3,22.954
271,9.042,11,11,1,1,3,21.939
272,9.076,10,10,1,1,2,22.728
273,9.109,12,12,1,1,3,23.091
274,9.142,11,11,1,1,3,22.944
275,9.176,10,10,1,1,2,22.593
276,9.209,10,10,1,1,2,22.494
277,9.243,10,10,1,1,2,22.763
278,9.276,9,9,1,1,2,22.844
279,9.309,12,12,1,1,3,22.774
280,9.343,9,9,1,1,2,22.654
281,9.376,10,10,1,1,3,23.066
282,9.409,8,8,1,1,2,22.54
283,9.443,9,9,1,1,3,22.539
284,9.476,9,9,1,1,3,22.747
285,9.51,11,11,1,1,3,23.03
286,9.543,9,9,1,1,2,22.683
287,9.576,9,9,1,1,2,22.315
288,9.61,9,9,1,1,2,22.637
289,9.643,9,9,1,1,2,23.144
290,9.676,9,9,1,1,1,22.64
291,9.71,11,11,1,1,2,22.596
292,9.743,11,11,1,1,2,22.401
293,9.776,11,11,1,1,2,22.909
294,9.81,11,11,1,1,2,22.817
295,9.843,10,10,1,1,1,22.868
296,9.877,11,11,1,1,2,22.876
297,9.91,12,12,1,1,2,22.684
298,9.943,11,11,1,1,2,22.259
299,9.977,11,11,1,1,2,22.722
300,10.01,11,11,1,1,3,22.641
301,10.043,10,10,1,1,2,23.101
302,10.077,8,8,1,1,2,22.505
303,10.11,9,9,1,1,2,22.335
304,10.143,10,10,1,1,2,22.531
305,10.177,11,11,1,1,3,22.711
306,10.21,11,11,1,1,3,22.713
307,10.244,9,9,1,1,2,22.891
308,10.277,11,11,1,1,3,22.151
309,10.31,12,12,1,1,3,22.745
310,10.344,12,12,1,1,3,22.599
311,10.377,12,12,1,1,3,22.881
312,10.41,11,11,1,1,3,22.519
313,10.444,10,10,1,1,1,22.219
314,10.477,11,11,1,1,2,22.562
315,10.511,11,11,1,1,3,22.898
316,10.544,11,11,1,1,3,23.217
317,10.577,12,12,1,1,3,22.731
318,10.611,13,13,1,1,3,22.192
319,10.644,13,13,1,1,3,22.974
320,10.677,13,13,1,1,3,22.564
321,10.711,13,13,1,1,3,22.876
322,10.744,12,12,1,1,3,22.217
323,10.777,14,14,1,1,3,22.611
324,10.811,13,13,1,1,3,22.74
325,10.844,13,13,1,1,3,22.496
326,10.878,13,13,1,1,3,22.313
327,10.911,11,11,1,1,2,22.662
328,10.944,11,11,1,1,2,22.186
329,10.978,9,9,1,1,2,22.225
330,11.011,8,8,1,1,1,22.395
